model,role,n_folds,fit_seconds_total,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,macro_pr_auc_mean,macro_pr_auc_std,macro_roc_auc_mean,macro_roc_auc_std,precision_small_mean,precision_small_std,recall_small_mean,recall_small_std,f1_small_mean,f1_small_std,pr_auc_small_mean,pr_auc_small_std,roc_auc_small_mean,roc_auc_small_std,precision_fit_mean,precision_fit_std,recall_fit_mean,recall_fit_std,f1_fit_mean,f1_fit_std,pr_auc_fit_mean,pr_auc_fit_std,roc_auc_fit_mean,roc_auc_fit_std,precision_large_mean,precision_large_std,recall_large_mean,recall_large_std,f1_large_mean,f1_large_std,pr_auc_large_mean,pr_auc_large_std,roc_auc_large_mean,roc_auc_large_std
Random Forest (Balanced),candidate,3,28.300426400033757,0.41658655777823234,0.005757608218143475,0.465007687797544,0.002607717908296869,0.368244028116667,0.0034343447849727177,0.4583820054672052,0.006179649782571472,0.41284506998702236,0.0011574622486728065,0.628867839799727,0.0020394569253909646,0.20750872039394477,0.0009156927529054842,0.5393727546363725,0.00797849833349807,0.2997039308250126,0.0021073392724659363,0.23620469024232446,0.002683581900357404,0.6611474632255692,0.0038277166280593516,0.7865259090849467,0.001876894891519945,0.3848776271392693,0.008909138383976367,0.5167840170510408,0.008089815443257091,0.7834360418468945,0.0010363614186814096,0.5745116516440827,0.0007341518556025936,0.20779273401600082,0.0036974396960440152,0.4707726816169902,0.009111248698599224,0.2882441364739478,0.0021968235034157575,0.21889447787184813,0.005012239694791019,0.6509444045295291,0.003662188198591164
XGBoost (Balanced Sample Weights),candidate,3,9.696514699957334,0.3958436435480215,0.005097101416974575,0.47675050327758645,0.001373098573996617,0.36115129395747786,0.003194103933340849,0.43279419803368113,0.005895568585428004,0.42084417354619436,0.002332265012840309,0.6378780507856364,0.0024549448627744796,0.2126222932533047,0.0008695101205886539,0.5704922808039615,0.007126204382595441,0.30977411721368525,0.0011189673457241396,0.25014968279870003,0.003254979021584913,0.6725956440754496,0.003100772547015217,0.7942500148894647,0.0012943749919015416,0.34313424710273743,0.007675599562110512,0.47918517996692933,0.007660585283721307,0.7854855068577992,0.001467943222549256,0.583467923477564,0.0028153866132466436,0.20596870623281618,0.00192847283279462,0.5166249819260601,0.005610674004617309,0.29449458469181894,0.00114143072024737,0.22689733098208378,0.00483739623599575,0.6575705848038959,0.003354124624075567
Logistic Regression (Balanced),candidate,3,4.453669099952094,0.33955449209638583,0.0017719907214647204,0.4691241034942179,0.004131468869157338,0.3250915165415831,0.0015955079795682285,0.3628039965263241,0.002656905656690721,0.4067564978998099,0.0009749242971690991,0.6263997448645687,0.002015952475620938,0.20056122517231312,0.001285232488715612,0.6079716477327897,0.006103598182002772,0.30161616951441633,0.0018440350845753393,0.22387492626492791,0.0018816917279785136,0.6588605224271058,0.0027448614874796416,0.8017107642266871,0.0031511903894199667,0.2552432442775285,0.003627797402471691,0.3871920773240312,0.004108332561486048,0.7836834561893543,0.001691605569727908,0.5742829257290224,0.0018736698333032729,0.1944244285030392,0.0023150506713611797,0.5441574184723357,0.014140539058721056,0.28646630278630164,0.004100269160175638,0.2127111112451473,0.004030932725361157,0.6460557864375782,0.004837847739133086
"Logistic Regression (Unweighted, Numeric Size)",reference,3,3.4677293001441285,0.7365548060770338,0.000149522824817081,0.33435961473536974,9.076526624157573e-05,0.2865222447579993,0.0001973364264633517,0.62733373062329,7.726128575959119e-05,0.3957560793498008,0.0007887533795318781,0.612021445736808,0.0012520068059980842,0.24185566264228872,0.015871652151356982,0.0047091950674822795,0.0004176291517158281,0.00923529381767517,0.0007959202041194039,0.2024789637671122,0.0010829273111639282,0.6403802684481504,0.001871087688012661,0.7380246357232559,3.658515717025079e-05,0.9973574547211381,0.00023340673663497887,0.8483138808469602,6.196866426369383e-05,0.7790386356930773,0.0002289518755590272,0.5657928818384911,0.0017198025605686133,0.3288193959700312,0.02802353027012852,0.001012194417488809,0.00031198713387900565,0.002017559609362418,0.0006201441017945512,0.20575063858921308,0.0023572596797199483,0.6298911869237828,0.0013808884081488771
"Logistic Regression (Unweighted, Categorical Size)",reference,3,3.945585399866104,0.7375230675471268,0.00015991264388495136,0.33443561799987437,1.5572194470982767e-05,0.2858626310618495,0.00015947094446477184,0.6273914383549551,2.379806115840107e-05,0.40710911454937787,0.0013150859153742956,0.6268452343987702,0.0018483048058277349,0.38779761904761906,0.06546672009432959,0.0016991940965142246,0.0006102439600920737,0.003382961291580437,0.0012127641410836368,0.22468956087698974,0.0012703131458559685,0.6592602806294169,0.002034831541673429,0.738020704318148,1.6503503175423038e-05,0.9989253635217832,0.00027321398425332057,0.8488779270109834,0.00010829654621711962,0.7834150105615243,0.0016806368424607894,0.5743057374543822,0.0019596334990072037,0.39967320261437905,0.07584093604373962,0.0026822963813256232,0.000515989136439742,0.005327004882984837,0.0010212670684991328,0.21322277220961952,0.004106407293061256,0.6469696851125115,0.0038522506391597683
Dummy (Most Frequent),reference,3,0.26234769995789975,0.7377440150526337,4.369738773626514e-06,0.3333333333333333,0.0,0.28302749950734846,9.64702459107236e-07,0.6264055315832221,5.84537016993132e-06,0.3333333333333333,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13385407194353285,2.4602399688234896e-06,0.5,0.0,0.7377440150526337,4.369738773626514e-06,1.0,0.0,0.8490824985220454,2.8941073773217077e-06,0.7377440150526337,4.369738773626514e-06,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1284019130038334,6.8299787424761714e-06,0.5,0.0
